file_name,telegram_type,station_code,data_id,announced,created,obs_kind,date,fct_start_day,fct_start_hour,fct_end_day,fct_end_hour,wind_dir,wind_speed_over100kt_flag,wind_speed,wind_gusts_over100kt_flag,wind_gusts,wind_dir_min,wind_dir_max,cavok,visibility,rvr_count,wx_count,cloud_count,str_cloud,temp_sign,temp,dew_point_sign,dew_point,altimeter_hpa,bulletin,wx
20180113_000000.002,0,RJFK,,,,0,20180113000000,-1,-1,-1,-1,280,-1,6,-1,-1,-1,-1,,9999,0,0,2,FEW 30   BKN 40,-1,1,-1,7,1029,RJFK 130000Z 28006KT 9999 FEW030 BKN040 M01/M07 Q1029 RMK     1CU030 6SC040 A3040=,
20180113_010000.003,0,RJFK,,,,0,20180113010000,-1,-1,-1,-1,330,-1,9,-1,-1,-1,-1,,9999,0,0,2,FEW 25   BKN 40,1,1,-1,7,1029,RJFK 130100Z 33009KT 9999 FEW025 BKN040 01/M07 Q1029 RMK     1CU025 5SC040 A3041=,
20180113_020000.002,0,RJFK,,,,0,20180113020000,-1,-1,-1,-1,330,-1,14,-1,-1,-1,-1,,9999,0,0,2,FEW 25   SCT 40,1,3,-1,6,1029,RJFK 130200Z 33014KT 9999 FEW025 SCT040 03/M06 Q1029 RMK     1CU025 3SC040 A3041=,
20180113_030000.002,0,RJFK,,,,0,20180113030000,-1,-1,-1,-1,340,-1,11,-1,-1,310,30,,9999,0,0,2,FEW 30   BKN 40,1,4,-1,5,1029,RJFK 130300Z 34011KT 310V030 9999 FEW030 BKN040 04/M05 Q1029     RMK 1CU030 5SC040 A3039=,
20180113_040000.002,0,RJFK,,,,0,20180113040000,-1,-1,-1,-1,340,-1,14,-1,-1,-1,-1,,9999,0,0,2,FEW 25   BKN 35,1,4,-1,5,1028,RJFK 130400Z 34014KT 9999 FEW025 BKN035 04/M05 Q1028 RMK     1CU025 5CU035 A3037=,
20180113_050000.002,0,RJFK,,,,0,20180113050000,-1,-1,-1,-1,310,-1,15,-1,-1,-1,-1,,9999,0,0,2,FEW 25   BKN 35,1,5,-1,5,1028,RJFK 130500Z 31015KT 9999 FEW025 BKN035 05/M05 Q1028 RMK     1CU025 5CU035 A3036=,
20180113_060000.002,0,RJFK,,,,0,20180113060000,-1,-1,-1,-1,330,-1,14,-1,-1,-1,-1,,9999,0,0,2,FEW 25   SCT 35,1,5,-1,5,1028,RJFK 130600Z 33014KT 9999 FEW025 SCT035 05/M05 Q1028 RMK     1CU025 3CU035 A3036=,
20180113_070000.002,0,RJFK,,,,0,20180113070000,-1,-1,-1,-1,350,-1,11,-1,-1,-1,-1,,9999,0,0,1,FEW 30,1,4,-1,4,1028,RJFK 130700Z 35011KT 9999 FEW030 04/M04 Q1028 RMK 1CU030     A3036=,
20180113_080000.002,0,RJFK,,,,0,20180113080000,-1,-1,-1,-1,340,-1,11,-1,-1,-1,-1,,9999,0,0,1,FEW 30,1,2,-1,5,1028,RJFK 130800Z 34011KT 9999 FEW030 02/M05 Q1028 RMK 1CU030     A3037=,
20180113_090000.002,0,RJFK,,,,0,20180113090000,-1,-1,-1,-1,340,-1,6,-1,-1,-1,-1,,9999,0,0,1,FEW 30,1,1,-1,5,1029,RJFK 130900Z 34006KT 9999 FEW030 01/M05 Q1029 RMK 1CU030     A3040=,
